link,num_lien,pays,ligue,annee,equipes
/matches/1827998/live/angleterre-league-two-2024-2025-colchester-bromley,1827998,angleterre,league-two,2024-2025,colchester-bromley
/matches/1827999/live/angleterre-league-two-2024-2025-doncaster-chesterfield,1827999,angleterre,league-two,2024-2025,doncaster-chesterfield
/matches/1828000/live/angleterre-league-two-2024-2025-carlisle-barrow,1828000,angleterre,league-two,2024-2025,carlisle-barrow
/matches/1828001/live/angleterre-league-two-2024-2025-crewe-morecambe,1828001,angleterre,league-two,2024-2025,crewe-morecambe
/matches/1828002/live/angleterre-league-two-2024-2025-gillingham-barrow,1828002,angleterre,league-two,2024-2025,gillingham-barrow
/matches/1828003/live/angleterre-league-two-2024-2025-crewe-chesterfield,1828003,angleterre,league-two,2024-2025,crewe-chesterfield
/matches/1828004/live/angleterre-league-two-2024-2025-doncaster-gillingham,1828004,angleterre,league-two,2024-2025,doncaster-gillingham
/matches/1828005/live/angleterre-league-two-2024-2025-crewe-harrogate-town,1828005,angleterre,league-two,2024-2025,crewe-harrogate-town
/matches/1828006/live/angleterre-league-two-2024-2025-grimsby-cheltenham,1828006,angleterre,league-two,2024-2025,grimsby-cheltenham
/matches/1828007/live/angleterre-league-two-2024-2025-colchester-milton-keynes-dons,1828007,angleterre,league-two,2024-2025,colchester-milton-keynes-dons
/matches/1828008/live/angleterre-league-two-2024-2025-colchester-tranmere,1828008,angleterre,league-two,2024-2025,colchester-tranmere
/matches/1828009/live/angleterre-league-two-2024-2025-morecambe-gillingham,1828009,angleterre,league-two,2024-2025,morecambe-gillingham
/matches/1828010/live/angleterre-league-two-2024-2025-chesterfield-cheltenham,1828010,angleterre,league-two,2024-2025,chesterfield-cheltenham
/matches/1828011/live/angleterre-league-two-2024-2025-notts-co-fleetwood,1828011,angleterre,league-two,2024-2025,notts-co-fleetwood
/matches/1828012/live/angleterre-league-two-2024-2025-bromley-afc-wimbledon,1828012,angleterre,league-two,2024-2025,bromley-afc-wimbledon
/matches/1828013/live/angleterre-league-two-2024-2025-bradford-afc-wimbledon,1828013,angleterre,league-two,2024-2025,bradford-afc-wimbledon
