annee,pays,league,lien
2021/2022,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/8667/allemagne-bundesliga
2020/2021,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/8279/allemagne-bundesliga
2019/2020,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/7872/allemagne-bundesliga
2018/2019,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/7405/allemagne-bundesliga
2017/2018,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/6902/allemagne-bundesliga
2016/2017,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/6392/allemagne-bundesliga
2015/2016,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/5870/allemagne-bundesliga
2014/2015,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/4336/allemagne-bundesliga
2013/2014,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/3863/allemagne-bundesliga
2012/2013,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/3424/allemagne-bundesliga
2011/2012,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/2949/allemagne-bundesliga
2010/2011,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/2520/allemagne-bundesliga
2009/2010,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/1903/allemagne-bundesliga
2008/2009,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/1535/allemagne-bundesliga
2007/2008,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/1253/allemagne-bundesliga
2006/2007,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/673/allemagne-bundesliga
2005/2006,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/812/allemagne-bundesliga
2004/2005,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/564/allemagne-bundesliga
2003/2004,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/395/allemagne-bundesliga
2002/2003,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/284/allemagne-bundesliga
2001/2002,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/162/allemagne-bundesliga
2000/2001,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/76/allemagne-bundesliga
1999/2000,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/3/allemagne-bundesliga
2025/2026,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/10732/italie-serie-a
2024/2025,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/10375/italie-serie-a
2023/2024,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/9659/italie-serie-a
2022/2023,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/9159/italie-serie-a
2021/2022,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/8735/italie-serie-a
2020/2021,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/8330/italie-serie-a
2019/2020,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/7928/italie-serie-a
2018/2019,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/7468/italie-serie-a
2017/2018,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/6974/italie-serie-a
2016/2017,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/6461/italie-serie-a
2015/2016,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/5970/italie-serie-a
2014/2015,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/5441/italie-serie-a
2013/2014,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/3978/italie-serie-a
2012/2013,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/3512/italie-serie-a
2011/2012,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/3054/italie-serie-a
2010/2011,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/2626/italie-serie-a
2009/2010,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/1957/italie-serie-a
2008/2009,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/1558/italie-serie-a
2007/2008,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/1293/italie-serie-a
2006/2007,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/687/italie-serie-a
2005/2006,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/857/italie-serie-a
2004/2005,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/619/italie-serie-a
2003/2004,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/440/italie-serie-a
2002/2003,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/319/italie-serie-a
2001/2002,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/200/italie-serie-a
2000/2001,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/96/italie-serie-a
1999/2000,italie,serie a,https://fr.whoscored.com/Regions/108/Tournaments/5/Seasons/5/italie-serie-a
