numéro,link
1820368,/matches/1820368/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-lokomotiv-plovdiv
1820369,/matches/1820369/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-septemvri-sofia
1820370,/matches/1820370/live/bulgarie-a-pfg-2024-2025-botev-vratsa-pfc-lokomotiv-sofia-1929
1820371,/matches/1820371/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-beroe
1820372,/matches/1820372/live/bulgarie-a-pfg-2024-2025-krumovgrad-cherno-more-varna
1820373,/matches/1820373/live/bulgarie-a-pfg-2024-2025-hebar-levski-sofia
1820374,/matches/1820374/live/bulgarie-a-pfg-2024-2025-spartak-varna-botev-plovdiv
1820375,/matches/1820375/live/bulgarie-a-pfg-2024-2025-cska-sofia-arda-kardzhali
1820376,/matches/1820376/live/bulgarie-a-pfg-2024-2025-slavia-sofia-cska-1948
1820377,/matches/1820377/live/bulgarie-b-pfg-2024-2025-sportist-svoge-pirin-blagoevgrad
1820378,/matches/1820378/live/bulgarie-b-pfg-2024-2025-etar-strumska-slava
1820379,/matches/1820379/live/bulgarie-b-pfg-2024-2025-spartak-pleven-dobrudzha-dobrich
1820380,/matches/1820380/live/bulgarie-b-pfg-2024-2025-nesebar-lovech
1820381,/matches/1820381/live/bulgarie-b-pfg-2024-2025-ludogorets-razgrad-ii-dunav-ruse
1820382,/matches/1820382/live/bulgarie-b-pfg-2024-2025-pfc-cska-sofia-ii-sportist-svoge
1820383,/matches/1820383/live/bulgarie-b-pfg-2024-2025-montana-cska-1948-ii
1820384,/matches/1820384/live/bulgarie-b-pfg-2024-2025-yantra-lokomotiv-gorna-oryahovitsa
1820385,/matches/1820385/live/bulgarie-b-pfg-2024-2025-lokomotiv-gorna-oryahovitsa-minyor-pernik
1820386,/matches/1820386/live/bulgarie-b-pfg-2024-2025-minyor-pernik-marek-dupnitsa
1820387,/matches/1820387/live/bulgarie-b-pfg-2024-2025-belasitsa-petrich-etar
1820388,/matches/1820388/live/bulgarie-b-pfg-2024-2025-strumska-slava-botev-plovdiv-ii
1820389,/matches/1820389/live/bulgarie-b-pfg-2024-2025-cska-1948-ii-yantra
1820390,/matches/1820390/live/bulgarie-b-pfg-2024-2025-pirin-blagoevgrad-botev-plovdiv-ii
1820391,/matches/1820391/live/bulgarie-b-pfg-2024-2025-dunav-ruse-montana
1820392,/matches/1820392/live/bulgarie-b-pfg-2024-2025-cska-1948-ii-ludogorets-razgrad-ii
1820393,/matches/1820393/live/bulgarie-b-pfg-2024-2025-dunav-ruse-nesebar
1820394,/matches/1820394/live/bulgarie-b-pfg-2024-2025-marek-dupnitsa-belasitsa-petrich
1820395,/matches/1820395/live/bulgarie-b-pfg-2024-2025-lovech-spartak-pleven
1820396,/matches/1820396/live/bulgarie-b-pfg-2024-2025-dobrudzha-dobrich-pfc-cska-sofia-ii
1820397,/matches/1820397/live/bulgarie-b-pfg-2024-2025-lovech-ludogorets-razgrad-ii
1820398,/matches/1820398/live/bulgarie-b-pfg-2024-2025-dobrudzha-dobrich-nesebar
1820399,/matches/1820399/live/bulgarie-b-pfg-2024-2025-sportist-svoge-fratria
1820400,/matches/1820400/live/bulgarie-b-pfg-2024-2025-fratria-pirin-blagoevgrad
1820401,/matches/1820401/live/bulgarie-b-pfg-2024-2025-sportist-svoge-spartak-pleven
1820402,/matches/1820402/live/bulgarie-b-pfg-2024-2025-fratria-pfc-cska-sofia-ii
1820403,/matches/1820403/live/bulgarie-b-pfg-2024-2025-etar-minyor-pernik
1820404,/matches/1820404/live/bulgarie-b-pfg-2024-2025-spartak-pleven-dunav-ruse
1820405,/matches/1820405/live/bulgarie-b-pfg-2024-2025-nesebar-cska-1948-ii
1820406,/matches/1820406/live/bulgarie-b-pfg-2024-2025-ludogorets-razgrad-ii-lokomotiv-gorna-oryahovitsa
1820407,/matches/1820407/live/bulgarie-b-pfg-2024-2025-montana-marek-dupnitsa
1820408,/matches/1820408/live/bulgarie-b-pfg-2024-2025-yantra-etar
1820409,/matches/1820409/live/bulgarie-b-pfg-2024-2025-minyor-pernik-botev-plovdiv-ii
1820410,/matches/1820410/live/bulgarie-b-pfg-2024-2025-belasitsa-petrich-strumska-slava
1820411,/matches/1820411/live/bulgarie-b-pfg-2024-2025-pirin-blagoevgrad-strumska-slava
1820412,/matches/1820412/live/bulgarie-b-pfg-2024-2025-botev-plovdiv-ii-belasitsa-petrich
1820413,/matches/1820413/live/bulgarie-b-pfg-2024-2025-pfc-cska-sofia-ii-lovech
1820414,/matches/1820414/live/bulgarie-b-pfg-2024-2025-marek-dupnitsa-yantra
1820415,/matches/1820415/live/bulgarie-b-pfg-2024-2025-lokomotiv-gorna-oryahovitsa-montana
1820416,/matches/1820416/live/bulgarie-b-pfg-2024-2025-etar-marek-dupnitsa
1820417,/matches/1820417/live/bulgarie-b-pfg-2024-2025-spartak-pleven-pirin-blagoevgrad
