numéro,pays,ligue,année,clubs,liens
1823596,Allemagne,Oberliga,2024-2025,Tsv Rain Lech Unterhaching Ii,/matches/1823596/live/allemagne-oberliga-2024-2025-tsv-rain-lech-unterhaching-ii
1823597,Allemagne,Oberliga,2024-2025,Fc Deisenhofen Fc Ismaning,/matches/1823597/live/allemagne-oberliga-2024-2025-fc-deisenhofen-fc-ismaning
1823598,Allemagne Oberliga,2024,2025-1860,Muenchen Ii Fc Deisenhofen,/matches/1823598/live/allemagne-oberliga-2024-2025-1860-muenchen-ii-fc-deisenhofen
1823599,Allemagne,Oberliga,2024-2025,Fc Ismaning Tsv 1861 Noerdlingen,/matches/1823599/live/allemagne-oberliga-2024-2025-fc-ismaning-tsv-1861-noerdlingen
1823600,Allemagne,Oberliga,2024-2025,Sv Heimstetten Sv Schalding Heining,/matches/1823600/live/allemagne-oberliga-2024-2025-sv-heimstetten-sv-schalding-heining
1823601,Allemagne,Oberliga,2024-2025,Tsv Gruenwald Fc Deisenhofen,/matches/1823601/live/allemagne-oberliga-2024-2025-tsv-gruenwald-fc-deisenhofen
1823602,Allemagne,Oberliga,2024-2025,Tsv Rain Lech Sv Schalding Heining,/matches/1823602/live/allemagne-oberliga-2024-2025-tsv-rain-lech-sv-schalding-heining
1823603,Allemagne,Oberliga,2024-2025,Fc Pipinsried Unterhaching Ii,/matches/1823603/live/allemagne-oberliga-2024-2025-fc-pipinsried-unterhaching-ii
1823604,Allemagne,Oberliga,2024-2025,Tsv Landsberg Tsv Gruenwald,/matches/1823604/live/allemagne-oberliga-2024-2025-tsv-landsberg-tsv-gruenwald
1823605,Allemagne,Oberliga,2024-2025,Fc Deisenhofen Tsv 1861 Noerdlingen,/matches/1823605/live/allemagne-oberliga-2024-2025-fc-deisenhofen-tsv-1861-noerdlingen
1823606,Allemagne,Oberliga,2024-2025,Unterhaching Ii Tsv Kottern,/matches/1823606/live/allemagne-oberliga-2024-2025-unterhaching-ii-tsv-kottern
1823607,Allemagne Oberliga,2024,2025-1860,Muenchen Ii Fc Pipinsried,/matches/1823607/live/allemagne-oberliga-2024-2025-1860-muenchen-ii-fc-pipinsried
1823608,Allemagne,Oberliga,2024-2025,Fc Ismaning Sv Kirchanschoering,/matches/1823608/live/allemagne-oberliga-2024-2025-fc-ismaning-sv-kirchanschoering
1823609,Allemagne,Oberliga,2024-2025,Sv Heimstetten Tsv Rain Lech,/matches/1823609/live/allemagne-oberliga-2024-2025-sv-heimstetten-tsv-rain-lech
1823610,Allemagne,Oberliga,2024-2025,Tsv Gruenwald Sv Heimstetten,/matches/1823610/live/allemagne-oberliga-2024-2025-tsv-gruenwald-sv-heimstetten
1823611,Allemagne,Oberliga,2024-2025,Tsv Landsberg Tsv 1861 Noerdlingen,/matches/1823611/live/allemagne-oberliga-2024-2025-tsv-landsberg-tsv-1861-noerdlingen
1823612,Allemagne,Oberliga,2024-2025,Tsv Rain Lech Fc Ismaning,/matches/1823612/live/allemagne-oberliga-2024-2025-tsv-rain-lech-fc-ismaning
1823613,Allemagne,Oberliga,2024-2025,Fc Pipinsried Sv Erlbach,/matches/1823613/live/allemagne-oberliga-2024-2025-fc-pipinsried-sv-erlbach
1823614,Allemagne,Oberliga,2024-2025,Sv Erlbach Sv Kirchanschoering,/matches/1823614/live/allemagne-oberliga-2024-2025-sv-erlbach-sv-kirchanschoering
1823615,Allemagne,Oberliga,2024-2025,Tuerkspor Augsburg Tsv Kottern,/matches/1823615/live/allemagne-oberliga-2024-2025-tuerkspor-augsburg-tsv-kottern
1823616,Allemagne,Oberliga,2024-2025,Sv Kirchanschoering 1860 Muenchen Ii,/matches/1823616/live/allemagne-oberliga-2024-2025-sv-kirchanschoering-1860-muenchen-ii
1823617,Allemagne,Oberliga,2024-2025,Sv Schalding Heining Fc Deisenhofen,/matches/1823617/live/allemagne-oberliga-2024-2025-sv-schalding-heining-fc-deisenhofen
1823618,Allemagne,Oberliga,2024-2025,Unterhaching Ii Fc Memmingen,/matches/1823618/live/allemagne-oberliga-2024-2025-unterhaching-ii-fc-memmingen
1823620,Allemagne,Oberliga,2024-2025,Sv Erlbach Fc Sonthofen,/matches/1823620/live/allemagne-oberliga-2024-2025-sv-erlbach-fc-sonthofen
1823621,Allemagne,Oberliga,2024-2025,Fc Memmingen Tsv 1861 Noerdlingen,/matches/1823621/live/allemagne-oberliga-2024-2025-fc-memmingen-tsv-1861-noerdlingen
1823622,Allemagne,Oberliga,2024-2025,Tsv Gruenwald Sv Kirchanschoering,/matches/1823622/live/allemagne-oberliga-2024-2025-tsv-gruenwald-sv-kirchanschoering
1823623,Allemagne,Oberliga,2024-2025,Tsv Landsberg Tsv Rain Lech,/matches/1823623/live/allemagne-oberliga-2024-2025-tsv-landsberg-tsv-rain-lech
1823624,Allemagne,Oberliga,2024-2025,Tsv Kottern Sv Schalding Heining,/matches/1823624/live/allemagne-oberliga-2024-2025-tsv-kottern-sv-schalding-heining
1823625,Allemagne Oberliga,2024,2025-1860,Muenchen Ii Unterhaching Ii,/matches/1823625/live/allemagne-oberliga-2024-2025-1860-muenchen-ii-unterhaching-ii
1823626,Allemagne,Oberliga,2024-2025,Fc Ismaning Tuerkspor Augsburg,/matches/1823626/live/allemagne-oberliga-2024-2025-fc-ismaning-tuerkspor-augsburg
1823627,Allemagne,Oberliga,2024-2025,Sv Heimstetten Fc Pipinsried,/matches/1823627/live/allemagne-oberliga-2024-2025-sv-heimstetten-fc-pipinsried
1823628,Allemagne,Oberliga,2024-2025,Tsv Landsberg Fc Deisenhofen,/matches/1823628/live/allemagne-oberliga-2024-2025-tsv-landsberg-fc-deisenhofen
