league,journey,season,date,hours,referee,stadium,team1,team2,action_minute,action_score,action_description,action_type,action_team,link
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,69,0:1,Fredrik Oppegard pour Gideon Mensah,Substitute,Auxerre,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,69,0:1,Han-Noah Massengo pour Elisha Owusu,Substitute,Auxerre,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,70,0:1,Lassine Sinayoko pour Theo Bair,Substitute,Auxerre,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,76,0:1,Dilane Bakwa,Yellow Card,Strasbourg,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,77,0:1,Abakar Sylla pour Dilane Bakwa,Substitute,Strasbourg,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,77,0:1,Eduard Sobol pour Valentín Barco,Substitute,Strasbourg,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,82,0:1,Paul Joly pour Ki-Jana Hoever,Substitute,Auxerre,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,82,0:1,Ado Onaiwu pour Clément Akpa,Substitute,Auxerre,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,94,0:1,Đorđe Petrović,Yellow Card,Strasbourg,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,96,0:1,Abakar Sylla,Red Card,Strasbourg,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,18,0:0,Jordan Ferri,Yellow Card,Montpellier,https://fbref.com/fr/matchs/5739a5ae/Montpellier-Rennes-2-Mars-2025-Ligue-1
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Florent Batta,Stade de la Mosson-Mondial 98,Montpellier,Rennes,28,0:1,Seko Fofana - Passe décisive : Lorenz Assignon,Goal,Rennes,
